Rank,Player,PER
1.,LeBron James,27.36
2.,Anthony Davis,27.07
3.,Kevin Durant,25.28
4.,Chris Paul,24.86
5.,James Harden,24.78
6.,Stephen Curry,24.02
7.,Giannis Antetokounmpo,23.79
8.,Kawhi Leonard,23.37
9.,Russell Westbrook,23.14
10.,Kyrie Irving,22.45
11.,Damian Lillard,22.28
12.,DeMarcus Cousins,22.18
13.,Andre Drummond,21.90
14.,Rudy Gobert,21.87
15.,Blake Griffin,21.43
16.,Kevin Love,21.35
17.,Dwight Howard,21.35
18.,Jimmy Butler,20.97
19.,Enes Kanter,20.90
20.,LaMarcus Aldridge,20.74
21.,Jonas Valančiūnas,20.73
22.,Nikola Vučević,20.68
23.,Isaiah Thomas,19.76
24.,Carmelo Anthony,19.68
25.,Paul George,19.47
26.,Kemba Walker,19.27
27.,Brook Lopez,19.25
28.,John Wall,19.20
29.,Derrick Favors,18.94
30.,Paul Millsap,18.80
31.,Al Horford,18.68
32.,DeAndre Jordan,18.56
33.,DeMar DeRozan,18.53
34.,Bradley Beal,18.28
35.,Derrick Rose,18.27
36.,Kyle Lowry,18.23
37.,Lou Williams,18.13
38.,Marc Gasol,17.99
39.,Mike Conley,17.61
40.,Joakim Noah,17.60
41.,CJ McCollum,17.55
42.,Gordon Hayward,17.52
43.,Eric Bledsoe,17.25
44.,Serge Ibaka,17.24
45.,Jrue Holiday,17.11
46.,Danilo Gallinari,17.10
47.,Tyreke Evans,17.10
48.,Tobias Harris,17.10
49.,Steven Adams,17.01
50.,Goran Dragić,16.80
51.,Jeff Teague,16.77
52.,Rudy Gay,16.63
53.,Khris Middleton,16.53
54.,Ryan Anderson,16.45
55.,Thaddeus Young,16.42
56.,Klay Thompson,16.37
57.,Robin Lopez,15.99
58.,Rajon Rondo,15.94
59.,Amir Johnson,15.84
60.,Reggie Jackson,15.71
61.,Anderson Varejão,15.61
62.,Ricky Rubio,15.61
63.,Taj Gibson,15.52
64.,Tristan Thompson,15.48
65.,Andre Iguodala,15.42
66.,Ersan İlyasova,15.35
67.,George Hill,14.97
68.,Draymond Green,14.90
69.,Andrew Wiggins,14.77
70.,Nicolas Batum,14.65
71.,J.J. Barea,14.52
72.,Eric Gordon,14.33
73.,D.J. Augustin,14.09
74.,Evan Fournier,14.02
75.,J.R. Smith,13.94
76.,Bojan Bogdanović,13.79
77.,Markieff Morris,13.62
78.,Harrison Barnes,13.60
79.,Marcus Morris,13.44
80.,Jeff Green,13.22
81.,Trevor Ariza,13.17
82.,Udonis Haslem,12.95
83.,Danny Green,12.83
84.,Wilson Chandler,12.83
85.,Jae Crowder,12.80
86.,Terrence Ross,12.78
87.,Wesley Matthews,12.71
88.,Jared Dudley,12.54
89.,Al-Farouq Aminu,12.21
90.,Courtney Lee,12.17
91.,Kentavious Caldwell-Pope,11.83
92.,Wayne Ellington,11.15
93.,Avery Bradley,10.86
94.,Luc Mbah a Moute,10.66
95.,P.J. Tucker,10.19
