Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Nikola Jokić\jokicni01,C,25,DEN,72,2488,31.3,.647,.183,.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,,12.2,3.4,15.6,.301,,9.2,2.5,11.7,8.6
2,Joel Embiid\embiijo01,C,26,PHI,51,1585,30.3,.636,.171,.610,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,,5.6,3.2,8.8,.266,,6.2,1.0,7.2,3.7
3,Giannis Antetokounmpo\antetgi01,PF,26,MIL,61,2013,29.2,.633,.201,.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,,6.9,3.3,10.2,.244,,6.2,2.6,8.8,5.5
4,Zion Williamson\willizi01,PF,20,NOP,61,2026,27.1,.649,.033,.510,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,,7.1,1.6,8.7,.205,,5.8,-0.4,5.4,3.8
5,Jimmy Butler\butleji01,SF,31,MIA,52,1745,26.5,.607,.139,.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,,6.6,2.7,9.3,.255,,5.1,2.5,7.5,4.2
6,Stephen Curry\curryst01,PG,32,GSW,63,2152,26.3,.655,.587,.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,,6.5,2.5,9.0,.201,,8.1,0.0,8.1,5.5
7,Kawhi Leonard\leonaka01,SF,29,LAC,52,1773,26.0,.622,.280,.325,3.6,17.4,10.7,24.9,2.3,1.1,9.2,28.6,,6.4,2.4,8.8,.238,,5.7,1.0,6.7,3.9
8,Damian Lillard\lillada01,PG,30,POR,67,2398,25.6,.623,.528,.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,,9.6,0.8,10.4,.209,,7.4,-1.6,5.9,4.8
9,Luka Dončić\doncilu01,PG,21,DAL,66,2262,25.3,.587,.406,.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36.0,,5.1,2.6,7.7,.163,,6.1,0.6,6.7,5.0
10,James Harden\hardeja01,PG-SG,31,TOT,44,1609,24.5,.618,.455,.440,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,,5.3,1.7,7.0,.208,,6.2,0.6,6.8,3.5
11,Kyrie Irving\irvinky01,PG,28,BRK,54,1886,24.4,.614,.348,.201,3.2,11.4,7.5,28.6,1.9,1.7,9.9,30.4,,5.8,1.6,7.4,.189,,5.7,-0.4,5.3,3.5
12,Jonas Valančiūnas\valanjo01,C,28,MEM,62,1755,24.4,.636,.077,.273,15.1,31.9,23.4,10.0,1.0,2.9,10.7,22.4,,5.1,2.6,7.8,.213,,3.1,-0.4,2.7,2.1
13,Clint Capela\capelca01,C,26,ATL,63,1898,24.3,.601,.000,.327,17.5,34.3,26.1,4.1,1.1,6.0,8.4,19.9,,4.9,3.3,8.2,.207,,2.7,-0.2,2.5,2.1
14,LeBron James\jamesle01,PG,36,LAL,45,1504,24.2,.602,.346,.310,2.2,23.6,12.9,41.8,1.6,1.5,15.2,31.9,,3.0,2.6,5.6,.179,,5.9,1.6,7.5,3.6
15,Rudy Gobert\goberru01,C,28,UTA,71,2187,23.5,.683,.007,.646,12.2,33.5,23.3,6.0,0.9,7.0,13.7,17.0,,6.1,5.2,11.3,.248,,2.0,2.5,4.5,3.6
16,Karl-Anthony Towns\townska01,C,25,MIN,50,1689,23.1,.612,.360,.355,8.2,26.4,17.0,22.6,1.1,2.9,13.7,29.1,,3.8,1.6,5.4,.153,,4.0,0.2,4.3,2.7
17,Trae Young\youngtr01,PG,22,ATL,63,2125,23.0,.589,.357,.491,2.0,10.5,6.3,45.5,1.2,0.5,16.2,33.0,,5.9,1.3,7.2,.163,,5.4,-1.7,3.6,3.0
18,Nikola Vučević\vucevni01,C,30,TOT,70,2348,22.9,.560,.315,.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,,3.3,3.0,6.3,.129,,4.9,0.2,5.1,4.2
19,Bam Adebayo\adebaba01,C,23,MIA,64,2143,22.7,.626,.010,.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,,5.6,3.2,8.8,.197,,2.9,1.9,4.7,3.6
20,Bradley Beal\bealbr01,SG,27,WAS,60,2147,22.7,.593,.270,.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,,4.2,1.7,5.9,.132,,4.9,-1.7,3.2,2.8
21,Montrezl Harrell\harremo01,C,27,LAL,69,1580,22.7,.650,.017,.425,11.3,19.1,15.2,7.7,1.4,2.8,9.4,21.7,,4.5,2.7,7.3,.221,,2.4,0.3,2.7,1.9
22,Enes Kanter\kanteen01,C,28,POR,72,1758,22.4,.636,.007,.292,16.8,31.9,24.2,7.2,0.9,2.4,11.0,17.4,,5.7,1.7,7.5,.204,,2.0,-1.8,0.2,1.0
23,DeMar DeRozan\derozde01,PF,31,SAS,61,2056,22.0,.591,.080,.478,2.0,11.6,6.7,32.0,1.3,0.6,9.7,26.1,,5.9,1.5,7.4,.172,,3.4,-0.2,3.2,2.7
24,Chris Boucher\bouchch01,C,28,TOR,60,1453,21.9,.634,.420,.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,,4.0,2.1,6.1,.201,,2.8,0.1,2.9,1.8
25,Zach LaVine\lavinza01,SG,25,CHI,58,2034,21.5,.634,.425,.265,2.0,13.6,7.9,23.4,1.1,1.2,13.9,31.0,,4.0,1.8,5.9,.138,,4.8,-1.1,3.7,2.9
26,Chris Paul\paulch01,PG,35,PHO,70,2199,21.4,.599,.294,.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,,6.5,2.7,9.2,.201,,3.4,1.3,4.7,3.7
27,Donovan Mitchell\mitchdo01,PG,24,UTA,53,1771,21.3,.569,.423,.290,3.1,10.6,7.0,26.7,1.4,0.7,10.7,33.5,,3.9,2.2,6.2,.167,,4.1,-0.6,3.5,2.5
28,Kristaps Porziņģis\porzikr01,C,25,DAL,43,1327,21.3,.582,.378,.202,6.9,24.6,15.8,8.4,0.7,4.1,6.4,26.5,,2.6,1.7,4.3,.154,,2.9,-0.8,2.0,1.4
29,Jayson Tatum\tatumja01,SF,22,BOS,64,2290,21.3,.576,.368,.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,,4.1,2.5,6.5,.137,,4.1,-0.4,3.7,3.3
